store_name,content
봄의정원 회기점,언제가도 좋습니다. 소개팅 첫만남으로 함께 했던 곳이라 기념일마다 방문하고 있는데 너무 좋아요. 이번에도 너무 만족스러웠습니다..! 직원분들도 너무 너무 친절하셔서 항상 만족스러워요!
봄의정원 회기점,파스타 맛있네요소스가 더 진한 맛이 있어서 맛있게 먹었습니다차분한 데이트 장소로 좋은 것 같아요
봄의정원 회기점,17시 예약이었고 5분 전에 도착했는데 브레이크타임이라고 문 안열어주셔서 밖에 잠깐 대기하다가 들어갔어요. 메뉴는 다 맛있고 양도 적지 않습니다. 분위기도 차분해서 좋고요. 메뉴 단가 자체에 서비스 차지가 포함되어 있던데 이 부분은 이해가 잘 안가요. (특별한 서비스를 받는다는 느낌은 없음)
봄의정원 회기점,"소개팅맛집 인가요?밥먹는데 주변 3테이블이 전부 소개팅 중 ㅋㅋ파스타, 라자냐가 엄청 맛있고2층 분위기가 좋은 곳 ♥"
봄의정원 회기점,음식도 맛있고 분위기도 좋아요~
봄의정원 회기점,환한 인테리어가 사진이 참 잘나옵니다. 동료들과 드세달마다 꼭 가는곳이에요 회기동 맛집!
봄의정원 회기점,스테이크는 질겼고 떡볶이는 매웠어요 재방문은 안할거같아요
봄의정원 회기점,가끔 특별한날 분위기 내러 가기 좋은곳 음식도 맛있어요
봄의정원 회기점,환경도 아담하고 음식도 고급스럽고 맛있어요!식사 마치고 결제까지 다 끝났지만 친구와 셀카 한장 찍고 가려고 그랬는데 여자 직원분이 바로 와서 친절하게 찍어 주시더라고요~! 서비스도 좋네요~^^
봄의정원 회기점,10명이서 회의겸 갔어요점심 1230 이었는데 음식이 조금 늦게나오더군요그외 음식도 이쁘고 기대보다 맛났어요
봄의정원 회기점,오늘은 직원들과 함께~~내부 인테리어도 좋고음식도 맛있어요~~~
봄의정원 회기점,맛있게 잘 먹었습니다◡̈⋆* 직원분도 친절하세요! 떡볶이는 넘  안주라..술고팠어요
봄의정원 회기점,지인 대접하려고 예약했어요. 우선 깔끔한 매장과  자연광이 좋았고 음식도 빨리 나와서 좋았어요.  오일 새우 파스타와 돼지고기 스테이크가 맛있다는 평이 있어 시켰고 연두부 샐러드도 싱싱하고 맛있었어요.   경희대 병원 근처에서  식사할곳 찾는다면 추천합니다.
봄의정원 회기점,친절하게 해주시고 음식이 너무 맛있고 분위기가 넘 좋아서 행복한 시간 보냈어요 :)
봄의정원 회기점,분위기 좋고 친절하셔서 맛있게 잘 먹었습니다.
봄의정원 회기점,창가에서 민들레영토가 보여요파스타 맛있게먹었는데  김치볶음밥에  들어있는 돼지고기에서 잡내가 많이 나서 아쉬웠어요분위기만큼은 좋습니다
봄의정원 회기점,좋은데 가격이 좀 비싸요 ㅎ
봄의정원 회기점,음식도 매장도 깔끔하고 분위기도 좋았어요^^
봄의정원 회기점,로제파스타가 꾸덕꾸덕해서 맛있어요 ㅎㅎ
봄의정원 회기점,머쉬룸 크림 파스타 맛나요~버섯에 식감도 좋고 향이 넘 좋아요.크림과 잘 어우러집니다.떡뽁이는 차만 없었다면 맥주 안주하고 싶은~^^저희 동네에 이런 매장이 있엇다면 저녁에 식사겸 가볍게 한잔하기 넘 좋을것 같아요.
봄의정원 회기점,"파스타 맛집^^분위기도 완전 좋은^^양도 완전 많은^^연인이든, 가족이든, 친구이든 함께오면 행복해지는 곳♡맛있게 잘 먹고왔어용*^^*"
봄의정원 회기점,저는 개인적으로 무난한 맛이라고 생각했어요!
봄의정원 회기점,맛있어요!버섯 들어간 크림 파스타가 진짜 맛있었어요
봄의정원 회기점,"성수동가보고 맛있어서 회기점도 갔어요. 민토맞은편.조용한곳에 위치에 있고 테이블간격이 넓어서 좋더라구요.다만 성수보다 음식양, 플레이팅. 맛이 조금 덜하더라구요많이 아쉬웠어요"
